dataset,method,em_mean,em_std,em_ci_lo,em_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,sf_em,sf_f1,latency_mean_s,throughput_sps
hotpotqa,direct,0.466,0.4988,0.424,0.51,0.6213,0.4236,0.5871,0.6631,0.0,0.0,0.3547,2.82
hotpotqa,cot,0.488,0.4999,0.45,0.534,0.6139,0.4386,0.5768,0.6532,0.0,0.0,1.4728,0.68
hotpotqa,self_consistency,0.496,0.5,0.456,0.5421,0.6324,0.4269,0.5952,0.6701,0.0,0.0,2.4542,0.41
hotpotqa,tot,0.384,0.4864,0.342,0.428,0.5342,0.4344,0.4956,0.5735,0.0,0.0,1.6188,0.62
hotpotqa,antahkarana,0.424,0.4942,0.384,0.47,0.6023,0.4174,0.5656,0.6387,0.044,0.3806,0.6221,1.61
mmlu,direct,0.58,0.4936,0.538,0.622,0.58,0.4936,0.538,0.622,N/A,N/A,0.06,16.68
mmlu,cot,0.62,0.4854,0.578,0.6581,0.62,0.4854,0.578,0.6581,N/A,N/A,0.635,1.57
mmlu,self_consistency,0.668,0.4709,0.628,0.71,0.668,0.4709,0.628,0.71,N/A,N/A,2.2766,0.44
mmlu,tot,0.556,0.4969,0.514,0.598,0.556,0.4969,0.514,0.598,N/A,N/A,0.7743,1.29
mmlu,antahkarana,0.488,0.4999,0.446,0.532,0.488,0.4999,0.446,0.532,N/A,N/A,0.4631,2.16
truthfulqa,direct,0.012,0.1089,0.004,0.022,0.1485,0.1942,0.1322,0.1665,N/A,N/A,0.0743,13.46
truthfulqa,cot,0.022,0.1467,0.01,0.034,0.1691,0.218,0.1512,0.1879,N/A,N/A,0.5243,1.91
truthfulqa,self_consistency,0.02,0.14,0.01,0.032,0.163,0.2174,0.145,0.1826,N/A,N/A,1.9079,0.52
truthfulqa,tot,0.024,0.153,0.01,0.038,0.2467,0.2543,0.2258,0.2683,N/A,N/A,0.6069,1.65
truthfulqa,antahkarana,0.028,0.165,0.014,0.042,0.2099,0.2391,0.1899,0.2301,N/A,N/A,0.5464,1.83
fever,direct,0.242,0.4283,0.208,0.28,0.242,0.4283,0.208,0.28,N/A,N/A,0.0363,27.52
fever,cot,0.158,0.3647,0.126,0.188,0.158,0.3647,0.126,0.188,N/A,N/A,0.3056,3.27
fever,self_consistency,0.134,0.3407,0.106,0.166,0.134,0.3407,0.106,0.166,N/A,N/A,1.3619,0.73
fever,tot,0.156,0.3629,0.128,0.188,0.156,0.3629,0.128,0.188,N/A,N/A,0.462,2.16
fever,antahkarana,0.406,0.4911,0.368,0.45,0.406,0.4911,0.368,0.45,N/A,N/A,0.3754,2.66
svamp,direct,0.61,0.4877,0.57,0.652,0.61,0.4877,0.57,0.652,N/A,N/A,0.0699,14.31
svamp,cot,0.856,0.3511,0.826,0.884,0.856,0.3511,0.826,0.884,N/A,N/A,0.438,2.28
svamp,self_consistency,0.9,0.3,0.872,0.926,0.9,0.3,0.872,0.926,N/A,N/A,1.4761,0.68
svamp,tot,0.82,0.3842,0.786,0.852,0.82,0.3842,0.786,0.852,N/A,N/A,0.7151,1.4
svamp,antahkarana,0.864,0.3428,0.834,0.892,0.864,0.3428,0.834,0.892,N/A,N/A,0.4418,2.26
