dataset,method,em_mean,em_std,em_ci_lo,em_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,sf_em,sf_f1,latency_mean_s,throughput_sps
hotpotqa,direct,0.332,0.4709,0.292,0.374,0.5161,0.4185,0.4792,0.5541,0.0,0.0,0.2583,3.87
hotpotqa,cot,0.358,0.4794,0.32,0.4,0.539,0.4193,0.5025,0.5755,0.0,0.0,0.9032,1.11
hotpotqa,self_consistency,0.38,0.4854,0.34,0.424,0.569,0.4133,0.5341,0.6052,0.0,0.0,1.4949,0.67
hotpotqa,tot,0.014,0.1175,0.004,0.026,0.1919,0.1918,0.1746,0.2082,0.0,0.0,1.6171,0.62
hotpotqa,antahkarana,0.352,0.4776,0.314,0.398,0.5277,0.4257,0.4931,0.5632,0.046,0.3653,0.2992,3.34
mmlu,direct,0.574,0.4945,0.528,0.618,0.574,0.4945,0.528,0.618,N/A,N/A,0.063,15.88
mmlu,cot,0.608,0.4882,0.566,0.648,0.608,0.4882,0.566,0.648,N/A,N/A,0.5311,1.88
mmlu,self_consistency,0.662,0.473,0.618,0.702,0.662,0.473,0.618,0.702,N/A,N/A,1.8853,0.53
mmlu,tot,0.2,0.4,0.164,0.238,0.2,0.4,0.164,0.238,N/A,N/A,0.7572,1.32
mmlu,antahkarana,0.608,0.4882,0.568,0.65,0.608,0.4882,0.568,0.65,N/A,N/A,0.4748,2.11
truthfulqa,direct,0.02,0.14,0.008,0.034,0.1892,0.2327,0.1698,0.2108,N/A,N/A,0.0368,27.21
truthfulqa,cot,0.038,0.1912,0.022,0.056,0.261,0.2673,0.2399,0.2845,N/A,N/A,0.3435,2.91
truthfulqa,self_consistency,0.042,0.2006,0.024,0.06,0.256,0.2627,0.2355,0.2798,N/A,N/A,1.4593,0.69
truthfulqa,tot,0.004,0.0631,0.0,0.01,0.2409,0.1933,0.2239,0.258,N/A,N/A,0.6314,1.58
truthfulqa,antahkarana,0.01,0.0995,0.002,0.018,0.2522,0.2167,0.2322,0.2719,N/A,N/A,0.8274,1.21
fever,direct,0.612,0.4873,0.572,0.658,0.612,0.4873,0.572,0.658,N/A,N/A,0.0582,17.19
fever,cot,0.02,0.14,0.008,0.032,0.02,0.14,0.008,0.032,N/A,N/A,0.276,3.62
fever,self_consistency,0.042,0.2006,0.026,0.06,0.042,0.2006,0.026,0.06,N/A,N/A,1.1425,0.88
fever,tot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.5332,1.88
fever,antahkarana,0.364,0.4811,0.322,0.406,0.364,0.4811,0.322,0.406,N/A,N/A,0.3278,3.05
svamp,direct,0.668,0.4709,0.628,0.71,0.668,0.4709,0.628,0.71,N/A,N/A,0.0496,20.15
svamp,cot,0.872,0.3341,0.844,0.9,0.872,0.3341,0.844,0.9,N/A,N/A,0.2437,4.1
svamp,self_consistency,0.9,0.3,0.872,0.9241,0.9,0.3,0.872,0.9241,N/A,N/A,0.9101,1.1
svamp,tot,0.844,0.3629,0.812,0.874,0.844,0.3629,0.812,0.874,N/A,N/A,0.5348,1.87
svamp,antahkarana,0.92,0.2713,0.896,0.944,0.92,0.2713,0.896,0.944,N/A,N/A,0.2164,4.62
