dataset,method,em_mean,em_std,em_ci_lo,em_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,sf_em,sf_f1,latency_mean_s,throughput_sps
hotpotqa,direct,0.438,0.4961,0.396,0.482,0.5701,0.4402,0.5307,0.6121,0.0,0.0,0.3363,2.97
hotpotqa,cot,0.466,0.4988,0.424,0.508,0.602,0.4372,0.5663,0.6408,0.0,0.0,0.8189,1.22
hotpotqa,self_consistency,0.49,0.4999,0.45,0.5321,0.6248,0.432,0.5899,0.6645,0.0,0.0,2.5277,0.4
hotpotqa,tot,0.126,0.3318,0.098,0.154,0.3254,0.3242,0.2984,0.355,0.0,0.0,1.2,0.83
hotpotqa,antahkarana,0.472,0.4992,0.434,0.514,0.6152,0.4301,0.5806,0.6528,0.042,0.3912,0.365,2.74
mmlu,direct,0.65,0.477,0.6099,0.694,0.65,0.477,0.6099,0.694,N/A,N/A,0.0538,18.59
mmlu,cot,0.708,0.4547,0.668,0.746,0.708,0.4547,0.668,0.746,N/A,N/A,0.6844,1.46
mmlu,self_consistency,0.734,0.4419,0.696,0.774,0.734,0.4419,0.696,0.774,N/A,N/A,3.0426,0.33
mmlu,tot,0.624,0.4844,0.582,0.6661,0.624,0.4844,0.582,0.6661,N/A,N/A,1.1957,0.84
mmlu,antahkarana,0.67,0.4702,0.632,0.71,0.67,0.4702,0.632,0.71,N/A,N/A,0.4366,2.29
truthfulqa,direct,0.016,0.1255,0.006,0.028,0.1645,0.2114,0.1463,0.1833,N/A,N/A,0.0447,22.39
truthfulqa,cot,0.032,0.176,0.018,0.048,0.2641,0.2545,0.243,0.2857,N/A,N/A,0.4597,2.18
truthfulqa,self_consistency,0.028,0.165,0.014,0.042,0.2525,0.2573,0.2311,0.2751,N/A,N/A,2.1989,0.45
truthfulqa,tot,0.036,0.1863,0.02,0.054,0.3684,0.2766,0.3446,0.3931,N/A,N/A,0.7747,1.29
truthfulqa,antahkarana,0.038,0.1912,0.022,0.054,0.2666,0.2505,0.2448,0.2888,N/A,N/A,0.6244,1.6
fever,direct,0.494,0.5,0.45,0.54,0.494,0.5,0.45,0.54,N/A,N/A,0.0339,29.47
fever,cot,0.12,0.325,0.092,0.148,0.12,0.325,0.092,0.148,N/A,N/A,0.3525,2.84
fever,self_consistency,0.104,0.3053,0.076,0.13,0.104,0.3053,0.076,0.13,N/A,N/A,1.6262,0.61
fever,tot,0.092,0.289,0.068,0.118,0.092,0.289,0.068,0.118,N/A,N/A,0.7542,1.33
fever,antahkarana,0.474,0.4993,0.43,0.516,0.474,0.4993,0.43,0.516,N/A,N/A,0.5402,1.85
svamp,direct,0.66,0.4737,0.62,0.702,0.66,0.4737,0.62,0.702,N/A,N/A,0.0339,29.5
svamp,cot,0.906,0.2918,0.884,0.93,0.906,0.2918,0.884,0.93,N/A,N/A,0.4206,2.38
svamp,self_consistency,0.928,0.2585,0.904,0.948,0.928,0.2585,0.904,0.948,N/A,N/A,1.5246,0.66
svamp,tot,0.91,0.2862,0.882,0.934,0.91,0.2862,0.882,0.934,N/A,N/A,0.864,1.16
svamp,antahkarana,0.932,0.2517,0.908,0.954,0.932,0.2517,0.908,0.954,N/A,N/A,0.5112,1.96
