dataset,method,em_mean,em_std,em_ci_lo,em_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,sf_em,sf_f1,latency_mean_s,throughput_sps
hotpotqa,direct,0.3,0.4583,0.262,0.342,0.5175,0.3996,0.4829,0.5555,0.0,0.0,0.4094,2.44
hotpotqa,cot,0.342,0.4744,0.302,0.382,0.5208,0.4239,0.4854,0.5597,0.0,0.0,0.9189,1.09
hotpotqa,self_consistency,0.356,0.4788,0.318,0.398,0.5362,0.4237,0.5026,0.5734,0.0,0.0,1.5825,0.63
hotpotqa,tot,0.036,0.1863,0.018,0.052,0.2286,0.2428,0.207,0.2501,0.0,0.0,1.6749,0.6
hotpotqa,antahkarana,0.28,0.449,0.242,0.32,0.4832,0.4153,0.4479,0.5245,0.038,0.3034,0.3462,2.89
mmlu,direct,0.434,0.4956,0.392,0.478,0.434,0.4956,0.392,0.478,N/A,N/A,0.0886,11.29
mmlu,cot,0.43,0.4951,0.39,0.476,0.43,0.4951,0.39,0.476,N/A,N/A,0.5034,1.99
mmlu,self_consistency,0.446,0.4971,0.406,0.488,0.446,0.4971,0.406,0.488,N/A,N/A,1.8333,0.55
mmlu,tot,0.106,0.3078,0.078,0.134,0.106,0.3078,0.078,0.134,N/A,N/A,0.7811,1.28
mmlu,antahkarana,0.446,0.4971,0.404,0.492,0.446,0.4971,0.404,0.492,N/A,N/A,0.3382,2.96
truthfulqa,direct,0.032,0.176,0.018,0.046,0.2588,0.2536,0.237,0.2816,N/A,N/A,0.055,18.19
truthfulqa,cot,0.046,0.2095,0.028,0.064,0.3337,0.2674,0.3111,0.3581,N/A,N/A,0.3129,3.2
truthfulqa,self_consistency,0.054,0.226,0.034,0.074,0.3394,0.2792,0.3145,0.3647,N/A,N/A,1.2923,0.77
truthfulqa,tot,0.032,0.176,0.018,0.048,0.359,0.2674,0.3341,0.3828,N/A,N/A,0.5701,1.75
truthfulqa,antahkarana,0.014,0.1175,0.004,0.024,0.2545,0.223,0.2359,0.2747,N/A,N/A,0.4208,2.38
fever,direct,0.32,0.4665,0.278,0.36,0.32,0.4665,0.278,0.36,N/A,N/A,0.0614,16.3
fever,cot,0.164,0.3703,0.134,0.198,0.164,0.3703,0.134,0.198,N/A,N/A,0.2481,4.03
fever,self_consistency,0.226,0.4182,0.194,0.264,0.226,0.4182,0.194,0.264,N/A,N/A,0.9678,1.03
fever,tot,0.072,0.2585,0.05,0.096,0.072,0.2585,0.05,0.096,N/A,N/A,0.4696,2.13
fever,antahkarana,0.04,0.196,0.024,0.06,0.04,0.196,0.024,0.06,N/A,N/A,0.3044,3.28
svamp,direct,0.542,0.4982,0.498,0.586,0.542,0.4982,0.498,0.586,N/A,N/A,0.0408,24.54
svamp,cot,0.634,0.4817,0.592,0.676,0.634,0.4817,0.592,0.676,N/A,N/A,0.3297,3.03
svamp,self_consistency,0.682,0.4657,0.64,0.724,0.682,0.4657,0.64,0.724,N/A,N/A,1.0985,0.91
svamp,tot,0.678,0.4672,0.638,0.718,0.678,0.4672,0.638,0.718,N/A,N/A,0.6576,1.52
svamp,antahkarana,0.654,0.4757,0.614,0.696,0.654,0.4757,0.614,0.696,N/A,N/A,0.3592,2.78
